ring,year,doy,depth,sm
24,2004,182,6,44.1836
24,2004,190,6,43.9417
24,2004,194,6,44.2264
24,2004,197,6,44.3202
24,2004,202,6,44.3627
24,2004,205,6,44.0693
24,2004,209,6,43.7326
24,2004,216,6,43.753
24,2004,222,6,40.5721
24,2004,230,6,38.9061
24,2004,236,6,43.0869
24,2004,240,6,40.1992
24,2004,252,6,41.3468
24,2004,257,6,40.675
24,2004,259,6,42.2254
24,2004,265,6,43.4814
24,2004,271,6,42.0709
24,2004,274,6,42.2008
25,2004,176,6,45.1137
25,2004,182,6,44.6339
25,2004,190,6,44.2439
25,2004,194,6,44.8895
25,2004,197,6,44.7186
25,2004,202,6,44.6138
25,2004,205,6,44.4765
25,2004,209,6,44.3332
25,2004,216,6,43.7454
25,2004,222,6,42.0984
25,2004,230,6,39.7094
25,2004,236,6,38.0126
25,2004,240,6,41.4131
25,2004,252,6,42.7977
25,2004,257,6,41.3873
25,2004,259,6,42.1988
25,2004,265,6,41.9737
25,2004,271,6,41.58
25,2004,274,6,41.589
32,2004,176,6,43.2977
32,2004,182,6,42.7808
32,2004,190,6,42.4825
32,2004,194,6,42.772
32,2004,197,6,42.7204
32,2004,202,6,42.1523
32,2004,205,6,42.6977
32,2004,209,6,41.8779
32,2004,216,6,41.7764
32,2004,222,6,40.9784
32,2004,230,6,39.0991
32,2004,236,6,39.0458
32,2004,240,6,40.0127
32,2004,252,6,40.8426
32,2004,257,6,40.1938
32,2004,259,6,40.4276
32,2004,265,6,41.8271
32,2004,271,6,40.4776
32,2004,274,6,39.7336
17,2004,176,7,41.959
17,2004,182,7,41.7363
17,2004,190,7,41.4032
17,2004,194,7,41.7969
17,2004,197,7,41.7361
17,2004,202,7,41.6955
17,2004,205,7,41.3729
17,2004,209,7,40.7334
17,2004,216,7,39.9146
17,2004,222,7,38.8346
17,2004,230,7,38.5146
17,2004,236,7,38.4291
17,2004,240,7,40.6241
17,2004,252,7,39.5537
17,2004,257,7,39.2823
17,2004,259,7,40.5348
17,2004,265,7,40.1894
17,2004,271,7,39.6803
17,2004,274,7,39.5926
24,2004,176,7,44.7863
24,2004,182,7,44.4368
24,2004,190,7,44.0888
24,2004,194,7,44.3314
24,2004,197,7,44.5952
24,2004,202,7,44.4048
24,2004,205,7,44.1519
24,2004,209,7,43.9624
24,2004,216,7,43.9728
24,2004,222,7,41.9864
24,2004,230,7,41.3347
24,2004,236,7,42.8183
24,2004,240,7,39.9537
24,2004,252,7,41.9326
24,2004,257,7,41.8291
24,2004,259,7,42.4694
24,2004,265,7,42.6332
24,2004,271,7,42.1734
24,2004,274,7,42.2547
25,2004,176,7,44.1122
25,2004,182,7,43.734
25,2004,190,7,43.4008
25,2004,194,7,43.9128
25,2004,197,7,43.7767
25,2004,202,7,43.7131
25,2004,205,7,43.537
25,2004,209,7,43.5674
25,2004,216,7,42.9852
25,2004,222,7,41.4465
25,2004,230,7,41.2724
25,2004,236,7,40.4359
25,2004,240,7,40.9622
25,2004,252,7,40.6141
25,2004,257,7,40.4161
25,2004,259,7,40.456
25,2004,265,7,40.5151
25,2004,271,7,40.0916
25,2004,274,7,40.0324
32,2004,176,7,42.73
32,2004,182,7,42.3617
32,2004,190,7,41.9546
32,2004,194,7,42.3434
32,2004,197,7,42.2925
32,2004,202,7,41.6474
32,2004,205,7,42.2392
32,2004,209,7,41.397
32,2004,216,7,41.5563
32,2004,222,7,40.8674
32,2004,230,7,39.9832
32,2004,236,7,39.1309
32,2004,240,7,39.8462
32,2004,252,7,40.0812
32,2004,257,7,39.4424
32,2004,259,7,39.5381
32,2004,265,7,40.763
32,2004,271,7,39.4689
32,2004,274,7,39.4582
1,2005,159,1,30.5114
1,2005,160,1,30.5764
1,2005,161,1,29.9393
1,2005,164,1,30.135
1,2005,166,1,34.5496
1,2005,168,1,31.8384
1,2005,171,1,30.4979
1,2005,173,1,28.8505
1,2005,175,1,26.7359
1,2005,178,1,23.5349
1,2005,180,1,22.5224
1,2005,184,1,20.4592
1,2005,188,1,20.0702
1,2005,192,1,19.0429
1,2005,194,1,26.4908
1,2005,196,1,26.9701
1,2005,199,1,23.7849
1,2005,201,1,23.897
1,2005,208,1,26.942
1,2005,210,1,23.5715
1,2005,213,1,22.88
1,2005,215,1,21.9362
1,2005,217,1,21.5922
1,2005,224,1,20.1026
1,2005,228,1,21.994
1,2005,233,1,31.5489
1,2005,236,1,26.3886
1,2005,240,1,24.0342
1,2005,243,1,23.2621
1,2005,245,1,20.4978
1,2005,250,1,19.745
1,2005,254,1,19.6876
1,2005,258,1,19.1954
1,2005,261,1,33.893
1,2005,264,1,36.1418
1,2005,269,1,40.1977
1,2005,273,1,38.1003
4,2005,159,1,22.1188
4,2005,160,1,20.8013
4,2005,161,1,20.3266
4,2005,164,1,20.407
4,2005,166,1,29.8806
4,2005,168,1,24.1888
4,2005,171,1,19.7833
4,2005,173,1,19.8823
4,2005,175,1,17.4684
4,2005,178,1,15.4784
4,2005,180,1,17.44
4,2005,184,1,16.3029
4,2005,188,1,16.7314
4,2005,192,1,15.893
4,2005,194,1,23.3194
4,2005,196,1,24.4499
4,2005,199,1,22.6539
4,2005,201,1,24.1275
4,2005,208,1,26.8991
4,2005,210,1,21.9971
4,2005,213,1,20.0852
4,2005,215,1,18.7891
4,2005,217,1,17.943
4,2005,224,1,17.1292
4,2005,228,1,19.009
4,2005,233,1,31.1972
4,2005,236,1,27.0918
4,2005,240,1,24.231
4,2005,243,1,22.527
4,2005,245,1,20.6503
4,2005,250,1,19.806
4,2005,254,1,19.0571
4,2005,258,1,18.6886
4,2005,261,1,28.6118
4,2005,264,1,34.7565
4,2005,269,1,40.8489
4,2005,273,1,39.6181
10,2005,159,1,29.846
10,2005,160,1,30.004
10,2005,161,1,29.5189
10,2005,164,1,29.3739
10,2005,166,1,35.8178
10,2005,168,1,32.3484
10,2005,171,1,29.8983
10,2005,173,1,27.7537
10,2005,175,1,25.2386
10,2005,178,1,22.464
10,2005,180,1,22.3368
10,2005,184,1,21.2164
10,2005,188,1,21.2985
10,2005,192,1,20.0147
10,2005,194,1,30.9921
10,2005,196,1,31.0995
10,2005,199,1,26.3454
