"year","doy","hour","SolarR","Temp","RH","WS","precip"
2013,112,0,1.24085111313678,-1.29974975585935,0.703000030517578,0,0
2013,112,1,1.24085111313678,-1.56125488281248,0.755500030517578,0,0
2013,112,2,1.24085111313678,-2.11673583984373,0.79875,0,0
2013,112,3,1.24085111313678,-2.37149658203123,0.82875,0,0
2013,112,4,1.24085111313678,-3.02799072265623,0.87125,0,0
2013,112,5,1.24085111313678,-3.13150634765623,0.863499984741211,0,0
2013,112,6,1.24085111313678,-1.0737365722656,0.729499969482422,0,0
2013,112,7,37.4840425531915,-0.423742675781227,0.675250015258789,0,0
2013,112,8,232.659574468085,1.13326416015627,0.624000015258789,0,0
2013,112,9,598.452127659574,4.39901123046877,0.508499984741211,1.57500004768372,0
2013,112,10,1037.2480598612,5.96599731445315,0.445,3.77999997138977,0
2013,112,11,1052.13829787234,7.23574218750002,0.434749984741211,3.96749997138977,0
2013,112,12,1127.10638297872,7.75051269531252,0.436749992370605,3.77999997138977,0
2013,112,13,1409.50337901014,9.27425537109377,0.392000007629395,3.40000009536743,0
2013,112,14,1508.40957446809,10.2647644042969,0.359249992370605,2.89499998092651,0
2013,112,15,1524.59236567071,11.412255859375,0.316000003814697,3.21250009536743,0
2013,112,16,1332.0019401388,12.5454956054688,0.271749992370605,3.08500003814697,0
2013,112,17,1067.64893617021,12.8229919433594,0.2625,2.89499998092651,0
2013,112,18,751.593804542054,12.7987609863281,0.262749996185303,3.33750009536743,0
2013,112,19,400.071057518492,12.1165100097656,0.2825,3.21250009536743,0
2013,112,20,39.397019698772,10.8449951171875,0.317250003814697,2.45499992370605,0
2013,112,21,1.24085111313678,9.33599243164065,0.35125,1.57249999046326,0
2013,112,22,1.24085111313678,8.48101196289065,0.3425,2.39249992370605,0
2013,112,23,1.24085111313678,7.64425048828127,0.355999984741211,2.58249998092651,0
2013,113,0,1.24085111313678,6.73101196289065,0.37125,2.83249998092651,0
2013,113,1,1.24085111313678,5.69924316406252,0.422249984741211,2.20250010490417,0
2013,113,2,1.24085111313678,4.64901123046877,0.502000007629395,1.88999998569489,0
2013,113,3,1.24085111313678,3.7340026855469,0.58875,2.20499992370605,0
2013,113,4,1.24085111313678,2.63674316406252,0.66,1.82500004768372,0
2013,113,5,1.24085111313678,2.28899536132815,0.713499984741211,3.01999998092651,0
2013,113,6,1.24085111313678,1.89275512695315,0.749749984741211,2.51749992370605,0
2013,113,7,60.1295760459088,1.6562438964844,0.773499984741211,2.07750010490417,0
2013,113,8,394.280412909325,2.7547546386719,0.760250015258789,1.95000004768372,0
2013,113,9,761.934230073969,4.44625244140627,0.694499969482422,2.51999998092651,0
2013,113,10,1080.57446808511,5.98598632812502,0.625750007629394,2.83249998092651,0
2013,113,11,1349.37377929688,7.62874755859377,0.560499992370605,3.08500003814697,0
2013,113,12,1545.22146411652,9.2495056152344,0.489500007629395,3.33750009536743,0
2013,113,13,1650.59042553191,10.6069885253906,0.432750015258789,3.27500009536743,0
2013,113,14,1649.29787234043,11.9157348632813,0.3925,3.52500009536743,0
2013,113,15,1527.79787234043,13.1304870605469,0.357750015258789,2.77250003814697,0
2013,113,16,1341.67021276596,13.9240051269531,0.355,2.58249998092651,0
2013,113,17,1078.66151460688,14.3195129394531,0.337999992370605,3.01999998092651,0
2013,113,18,757.384480707696,14.5947509765625,0.334000015258789,2.89499998092651,0
2013,113,19,398.054693473654,14.2237487792969,0.356500015258789,2.39249992370605,0
2013,113,20,49.1170212765957,12.9192443847656,0.395999984741211,1.76250004768372,0
2013,113,21,1.24085111313678,11.089501953125,0.496749992370605,1.07000005245209,0
2013,113,22,1.24085111313678,10.2159973144531,0.617750015258789,2.64249992370605,0
2013,113,23,1.24085111313678,9.10698852539065,0.691500015258789,2.82999992370605,0
2013,114,0,1.24085111313678,8.03249511718752,0.771750030517578,2.39499998092651,0
2013,114,1,1.24085111313678,7.41823730468752,0.811999969482422,2.32999992370605,0
2013,114,2,1.24085111313678,6.9835144042969,0.834749984741211,2.14000010490417,0
2013,114,3,1.24085111313678,6.63601074218752,0.850749969482422,2.07500004768372,0
2013,114,4,1.24085111313678,6.38201293945315,0.864000015258789,2.20250010490417,0
2013,114,5,1.24085111313678,6.35573730468752,0.863000030517578,2.45499992370605,0
2013,114,6,1.24085111313678,6.1085144042969,0.8725,2.20250010490417,0
2013,114,7,100.81914893617,6.16524658203127,0.874250030517578,2.26749992370605,0
2013,114,8,297.907665885763,7.4057556152344,0.844000015258789,2.64499998092651,0
2013,114,9,398.726814821933,9.3597351074219,0.761500015258789,2.33249998092651,0
2013,114,10,406.533823475939,10.1172424316406,0.73375,3.08249998092651,0
2013,114,11,524.724906239611,11.6007629394531,0.691500015258789,3.21000003814697,0
2013,114,12,908.664893617021,13.3070007324219,0.6475,3.08249998092651,0
2013,114,13,1363.02321673454,16.558251953125,0.572999992370606,3.58999991416931,0
2013,114,14,1439.23210241439,18.5209899902344,0.540499992370605,4.03000020980835,0
2013,114,15,622.338485393118,18.7585083007813,0.53875,3.65000009536743,0
2013,114,16,272.728723404255,18.3842407226563,0.54875,2.96000003814697,0
2013,114,17,138.303191489362,18.2950073242188,0.582249984741211,2.07750010490417,0
2013,114,18,62.0425531914894,17.8850036621094,0.614249992370606,0.627499997615814,0
2013,114,19,24.5585106382979,14.9410034179688,0.8075,2.32750010490417,2.40000009536743
2013,114,20,12.9255319148936,13.9420104980469,0.87875,2.76999998092651,0.200000002980232
2013,114,21,1.24085111313678,14.0429931640625,0.826999969482422,2.20499992370605,0
2013,114,22,1.24085111313678,7.61150512695315,0.894000015258789,2.58249998092651,4.40000009536744
2013,114,23,1.24085111313678,6.01198730468752,0.855250015258789,2.71000003814697,0
2013,115,0,1.24085111313678,4.90749511718752,0.831750030517578,2.83500003814697,0
2013,115,1,1.24085111313678,3.9582458496094,0.8275,2.83249998092651,0
2013,115,2,1.24085111313678,3.34050903320315,0.824749984741211,1.70249998569489,0
2013,115,3,1.24085111313678,2.9630065917969,0.810999984741211,1.63499999046326,0
2013,115,4,1.24085111313678,2.1815124511719,0.800999984741211,2.01749992370605,0
2013,115,5,1.24085111313678,1.87249145507815,0.78875,1.38499999046326,0
2013,115,6,1.24085111313678,1.68999633789065,0.78125,1.19749999046326,0
2013,115,7,25.2306379034164,1.73751220703127,0.793249969482422,0.817499995231628,0
2013,115,8,213.271276595745,1.7702575683594,0.795500030517578,0.439999997615814,0
2013,115,9,523.484042553191,3.27300415039065,0.746999969482422,1.82500004768372,0
2013,115,10,1168.46808510638,4.7912536621094,0.683499984741211,1.88750004768372,0
2013,115,11,1398.54255319149,6.01799926757815,0.575750007629395,2.26749992370605,0
2013,115,12,1576.91489361702,7.09099731445315,0.52875,2.20000004768372,0
2013,115,13,1679.69874864943,7.66976318359377,0.47625,1.95000004768372,0
2013,115,14,1657.72534439412,8.50600585937502,0.445750007629395,1.70000004768372,0
2013,115,15,1537.46614496759,9.55776367187502,0.420250015258789,0.817499995231628,0
2013,115,16,1347.51257843667,10.3630004882813,0.385250015258789,1.38499999046326,0
2013,115,17,1085.74468085106,10.8340087890625,0.354249992370605,1.00750005245209,0
2013,115,18,769.689549222905,11.4792419433594,0.339000015258789,0.822499990463257,0
2013,115,19,423.337014965301,11.7832580566406,0.329749984741211,0.3125,0
2013,115,20,56.8723404255319,10.5642639160156,0.358250007629395,0,0
2013,115,21,1.24085111313678,9.6197448730469,0.427249984741211,0.189999997615814,0
2013,115,22,1.24085111313678,8.77175292968752,0.49375,0.879999995231628,0
2013,115,23,1.24085111313678,6.24724731445315,0.681500015258789,1.44749999046326,0
2013,116,0,1.24085111313678,5.4942565917969,0.751750030517578,0.1875,0
2013,116,1,1.24085111313678,5.37725219726565,0.694749984741211,1.63750004768372,0
2013,116,2,1.24085111313678,3.8640075683594,0.817750015258789,0.752499997615814,0.800000011920928
2013,116,3,1.24085111313678,2.73699340820315,0.914000015258789,0.125,0.400000005960464
2013,116,4,1.24085111313678,2.79024658203127,0.934250030517578,0,0
2013,116,5,1.24085111313678,3.0157409667969,0.928499984741211,0,0
2013,116,6,1.24085111313678,2.1140075683594,0.944499969482422,0,0
2013,116,7,40.0691489361702,2.26226196289065,0.95375,0,0
2013,116,8,101.491278173568,2.78951416015627,0.950749969482422,0,0
2013,116,9,220.406163901471,3.84649047851565,0.91625,0.0625,0
2013,116,10,873.765957446809,5.05498657226565,0.815,0.629999995231628,0
2013,116,11,735.462765957447,6.29924926757815,0.655250015258789,1.44749999046326,0
2013,116,12,915.075970069398,6.88674316406252,0.59125,1.19749999046326,0
2013,116,13,1381.06720879737,7.65676269531252,0.542750015258789,1.44749999046326,0
2013,116,14,805.260638297872,8.0257507324219,0.499000015258789,1.19749999046326,0
2013,116,15,827.906195457945,8.84725341796877,0.481749992370605,1.38499999046326,0
2013,116,16,1485.81576992603,9.3117614746094,0.442000007629395,1.57500004768372,0
2013,116,17,1026.28723404255,9.93374023437502,0.424500007629395,1.38499999046326,0
2013,116,18,758.10832311752,10.2589965820313,0.4225,1.07000005245209,0
2013,116,19,264.30128290704,9.47176513671877,0.442999992370605,1.38499999046326,0
2013,116,20,55.5797872340426,8.30025634765627,0.529500007629395,1.50999999046326,0
2013,116,21,1.24085111313678,6.47576293945315,0.599000015258789,0.1875,0
2013,116,22,1.24085111313678,4.75350341796877,0.672750015258789,0,0
2013,116,23,1.24085111313678,1.7752624511719,0.824000015258789,0,0
2013,117,0,1.24085111313678,0.452508544921898,0.879499969482422,0,0
2013,117,1,1.24085111313678,-0.0667480468749773,0.885250015258789,0,0
2013,117,2,1.24085111313678,-0.388739013671852,0.896500015258789,0,0
2013,117,3,1.24085111313678,-1.05051269531248,0.920749969482422,0,0
2013,117,4,1.24085111313678,-1.1567443847656,0.931500015258789,0,0
2013,117,5,1.24085111313678,-1.03848876953123,0.934000015258789,0,0
2013,117,6,1.24085111313678,-1.0527404785156,0.91875,0,0
